season,player_id,age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2000-01,i/iversal01,25,PHI,71,42.0,31.1,3.8,4.6,2.5,0.3,.420,.320,.814,11.8,.190
1999-00,o/onealsh01,27,LAL,79,40.0,29.7,13.6,3.8,0.5,3.0,.574,.000,.524,18.6,.283
1998-99,m/malonka01,35,UTA,49,37.4,23.8,9.4,4.1,1.3,0.6,.493,.000,.788,9.6,.252
1997-98,j/jordami01,34,CHI,82,38.8,28.7,5.8,3.5,1.7,0.5,.465,.238,.784,15.8,.238
1996-97,m/malonka01,33,UTA,82,36.6,27.4,9.9,4.5,1.4,0.6,.550,.000,.755,16.7,.268
1995-96,j/jordami01,32,CHI,82,37.7,30.4,6.6,4.3,2.2,0.5,.495,.427,.834,20.4,.317
1994-95,r/robinda01,29,SAS,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,.273
1993-94,o/olajuha01,31,HOU,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210
1992-93,b/barklch01,29,PHO,76,37.6,25.6,12.2,5.1,1.6,1.0,.520,.305,.765,14.4,.242
1991-92,j/jordami01,28,CHI,80,38.8,30.1,6.4,6.1,2.3,0.9,.519,.270,.832,17.7,.274
1990-91,j/jordami01,27,CHI,82,37.0,31.5,6.0,5.5,2.7,1.0,.539,.312,.851,20.3,.321
1989-90,j/johnsma02,30,LAL,79,37.2,22.3,6.6,11.5,1.7,0.4,.480,.384,.890,16.5,.270
1988-89,j/johnsma02,29,LAL,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,.267
1987-88,j/jordami01,24,CHI,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308
1986-87,j/johnsma02,27,LAL,80,36.3,23.9,6.3,12.2,1.7,0.5,.522,.205,.848,15.9,.263
1985-86,b/birdla01,29,BOS,82,38.0,25.8,9.8,6.8,2.0,0.6,.496,.423,.896,15.8,.244
1984-85,b/birdla01,28,BOS,80,39.5,28.7,10.5,6.6,1.6,1.2,.522,.427,.882,15.7,.238
1983-84,b/birdla01,27,BOS,79,38.3,24.2,10.1,6.6,1.8,0.9,.492,.247,.888,13.6,.215
1982-83,m/malonmo01,27,PHI,78,37.5,24.5,15.3,1.3,1.1,2.0,.501,.000,.761,15.1,.248
1981-82,m/malonmo01,26,HOU,81,42.0,31.1,14.7,1.8,0.9,1.5,.519,.000,.762,15.4,.218
1980-81,e/ervinju01,30,PHI,82,35.0,24.6,8.0,4.4,2.1,1.8,.521,.222,.787,13.8,.231
1979-80,a/abdulka01,32,LAL,82,38.3,24.8,10.8,4.5,1.0,3.4,.604,.000,.765,14.8,.227
1978-79,m/malonmo01,23,HOU,82,41.3,24.8,17.6,1.8,1.0,1.5,.540,,.739,14.1,.200
1977-78,w/waltobi01,25,POR,58,33.3,18.9,13.2,5.0,1.0,2.5,.522,,.720,8.4,.209
1976-77,a/abdulka01,29,LAL,82,36.8,26.2,13.3,3.9,1.2,3.2,.579,,.701,17.8,.283
1975-76,a/abdulka01,28,LAL,82,41.2,27.7,16.9,5.0,1.5,4.1,.529,,.703,17.0,.242
1974-75,m/mcadobo01,23,BUF,82,43.2,34.5,14.1,2.2,1.1,2.1,.512,,.805,17.8,.242
1973-74,a/abdulka01,26,MIL,81,43.8,27.0,14.5,4.8,1.4,3.5,.539,,.702,18.4,.250
1972-73,c/cowenda01,24,BOS,82,41.8,20.5,16.2,4.1,,,.452,,.779,12.0,.168
1971-72,a/abdulka01,24,MIL,81,44.2,34.8,16.6,4.6,,,.574,,.689,25.4,.340
1970-71,a/abdulka01,23,MIL,82,40.1,31.7,16.0,3.3,,,.577,,.690,22.3,.326
1969-70,r/reedwi01,27,NYK,81,38.1,21.7,13.9,2.0,,,.507,,.756,14.6,.227
1968-69,u/unselwe01,22,BAL,82,36.2,13.8,18.2,2.6,,,.476,,.605,10.8,.175
1967-68,c/chambwi01,31,PHI,82,46.8,24.3,23.8,8.6,,,.595,,.380,20.4,.255
1966-67,c/chambwi01,30,PHI,81,45.5,24.1,24.2,7.8,,,.683,,.441,21.9,.285
1965-66,c/chambwi01,29,PHI,79,47.3,33.5,24.6,5.2,,,.540,,.513,21.4,.275
1964-65,r/russebi01,30,BOS,78,44.4,14.1,24.1,5.3,,,.438,,.573,16.9,.233
1963-64,r/roberos01,25,CIN,79,45.1,31.4,9.9,11.0,,,.483,,.853,20.6,.278
1962-63,r/russebi01,28,BOS,78,44.9,16.8,23.6,4.5,,,.432,,.555,13.5,.185
1961-62,r/russebi01,27,BOS,76,45.2,18.9,23.6,4.5,,,.457,,.595,15.5,.217
1960-61,r/russebi01,26,BOS,78,44.3,16.9,23.9,3.4,,,.426,,.550,13.0,.181
1959-60,c/chambwi01,23,PHW,72,46.4,37.6,27.0,2.3,,,.461,,.582,17.0,.245
1958-59,p/pettibo01,26,STL,72,39.9,29.2,16.4,3.1,,,.438,,.759,14.8,.246
1957-58,r/russebi01,23,BOS,69,38.3,16.6,22.7,2.9,,,.442,,.519,11.3,.206
1956-57,c/cousybo01,28,BOS,64,36.9,20.6,4.8,7.5,,,.378,,.821,8.8,.178
1955-56,p/pettibo01,23,STL,72,38.8,25.7,16.2,2.6,,,.429,,.736,13.8,.236
